Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Matindas Janusanti Rumambi,Sulawesi Tengah,PDI-P,DPR RI,Universitas Sam Ratulangi,Telly Sumampouw (suami/istri),
Muhidin Mohamad Said,Sulawesi Tengah,Golkar,DPR RI,Universitas Tadulako,,
Nilam Sari Lawira,Sulawesi Tengah,NasDem,DPR RI,Universitas Tadulako; Universitas Gadjah Mada; Universitas Brawijaya,"Ahmad Ali (suami, politikus)","Ahmad Lawira (ayah, pegawai negeri di Dinas Pendidikan dan Kebudayaan Palu)"
Sarifuddin Sudding,Sulawesi Tengah,PAN,DPR RI,Universitas Muslim Indonesia,Almiah Hamid (istri),
Ahmad Safei,Sulawesi Tenggara,PDI-P,DPR RI,,Hj. Herty Jumawan (istri),Imran (besan); Wahyu Ade Pratama Imran (menantu)
Ali Mazi,Sulawesi Tenggara,NasDem,DPR RI,,"Agista Ariany Bombay (istri, almh. (almarhumah))",Alvin Akawijaya Putra (anak)
Bahtra Banong,Sulawesi Tenggara,Gerindra,DPR RI,Universitas Islam Bandung,,
Jaelani,Sulawesi Tenggara,PKB,DPR RI,Universitas Indonesia,,
Ridwan Bae,Sulawesi Tenggara,Golkar,DPR RI,Universitas Hasanuddin; Universitas Sulawesi Tenggara,,
Rusda Mahmud,Sulawesi Tenggara,Demokrat,DPR RI,,Hj. Nurfaedah (istri),Wigan Wijaya Putra (anak); Wira Wirawan (anak); Wildan Setiawan (anak); Wisnu Tenggara Putra (anak)
Tina Nur Alam,Sulawesi Tenggara,NasDem,DPR RI,Universitas Halu Oleo,Nur Alam (suami),Tony Herbiansyah (adik)
Christiany Eugenia Paruntu,Sulawesi Utara,Golkar,DPR RI,Sekolah Tinggi Ilmu Ekonomi Ganesha Jakarta; Sekolah Tinggi Teologi IKAT Jakarta,,"Adrian Jopie Paruntu (anak); Jopie Paruntu (ayah, mantan Rektor Universitas Sam Ratulangi); Jenny Y. Tumbuan (ibu, politisi)"
Christovel Liempepas,Sulawesi Utara,Gerindra,DPR RI,,,
Felly Estelita Runtuwene,Sulawesi Utara,NasDem,DPR RI,STIE-IBEK Jakarta,Yap Empy Paulorino (suami),
Hillary Brigitta Lasut,Sulawesi Utara,Demokrat,DPR RI,Universitas Pelita Harapan; Universitas Washington,Lettu Inf Yohanes P. Rahawarin (suami),"Elly Engelbert Lasut (ayah, Bupati Kepulauan Talaud); Telly Tjanggulung (ibu, Bupati Minahasa Tenggara); Jeffry Apoly Rahawarin (ayah mertua)"
Martin Daniel Tumbeleka,Sulawesi Utara,Gerindra,DPR RI,,,
Rio Dondokambey,Sulawesi Utara,PDI-P,DPR RI,Pennsylvania State University,,"Olly Dondokambey (ayah, Mantan Gubernur Sulawesi Utara dan Bendahara Umum PDIP); Rita Tamuntuan (ibu, Mantan Ketua TP PKK Sulawesi Utara)"
Yasti Soepredjo Mokoagow,Sulawesi Utara,PDI-P,DPR RI,Universitas Sam Ratulangi,,
Lita Machfud Arifin,,,DPR RI,,"Machfud Arifin (suami, mantan Kapolda Jatim Irjen. Pol. (purn.))",
Sarifah Suraidah,,,DPR RI,,Rudy Mas'ud (suami),
Rudy Mas'ud,,,Gubernur Kalimantan Timur,,Sarifah Suraidah (istri),Haji Mas'ud (ayah); Syarifah Ruwaidah Alqadri (ibu); Hasanuddin Mas'ud (kakak); Rahmad Mas'ud (kakak); Abdul Gafur Mas'ud (adik)
Zainal Arifin Paliwang,,,Gubernur Kalimantan Utara,,"Hj. Rahmawati, S.H. (istri)","AKP Novandi Arya Kharisma (anak, alm.)"
Adrian Jopie Paruntu,,,DPR RI,,"Hanna Enah Supit (istri, menikah tahun 2020)",Christiany Eugenia Paruntu (ibu)
Richard Arnaldo Djanggola,,,Penjabat Bupati Pargi Moutong,,Surya Fibrianti Junus (istri),"Longki Djanggola (ayah, Bupati Parigi Moutong); Zalzulmida Aladin, S.H., C.N (ibu)"
Ahmad Ali,,,DPR RI,,Nilam Sari Lawira (istri),
Ilham Syah Azikin,,,Bupati Bantaeng,,Sri Dewi Yanti (istri),"Azikin Solthan (ayah, Drs. H., Bupati Bantaeng dua periode, anggota DPR RI); Linda Azikin (ibu)"
Rusdi Masse Mappasessu,,,DPR RI,,Fatmawati Rusdi (istri),
Andi Tenri Liwang La Tinro,,,Wakil Bupati Enrekang ke-6,,,La Tinro La Tunrung (ayah); Andi Silvi (ibu)
Indah Putri Indriani,,,Bupati Luwu Utara,,Muhammad Fauzi (suami),
Yohanis Bassang,,,Bupati Toraja Utara,,"Agustina Mangande (istri, berhasil duduk di DPR RI)","Fhireno Sakti Bassang (anak, terpilih menjadi anggota DPRD Provinsi Sulsel); Fhirebert Utama Bassang (anak, anggota DPRD Kabupaten Toraja Utara)"
Fatmawati Rusdi,,,Wakil Gubernur Sulawesi Selatan,,"Rusdi Masse Mappasessu (suami, Bupati Sidenreng Rappang (2008–2018))",
Yosia Rinto Kadang,,,DPRD Provinsi Sulawesi Selatan,,Eva Stevany Rataba (istri),
Mitra Fakhruddin Muslimin Bando,,,DPR RI,,,Muslimin Bando (ayah); Hj. Johra MB. (ibu)
Nur Alam,,,Gubernur Sulawesi Tenggara,,Tina Nur Alam (istri),Tony Herbiansyah (ipar)
Alvin Akawijaya Putra,,,Bupati Buton,,,"Ali Mazi (ayah, mantan Gubernur Sulawesi Tenggara)"
Idah Syahidah Rusli Habibie,,,Wakil Gubernur Gorontalo,,Rusli Habibie (suami),
Siti Suraidah Suhardi,,,DPRD Provinsi Sulawesi Barat,,Nasrun Azis (suami),"Suhardi Duka (ayah); Sitti Sutinah Suhardi (saudara, kakak, Bupati Mamuju)"
Murad Ismail,,,Gubernur Maluku,,Widya Pratiwi (istri),
Abdul Faris Umlati,,,Bupati Raja Ampat,,Faujia Helga Br. Tampubolon (istri),"Abbas Umlati (ayah, berasal dari suku Ma'ya di Kampung Waigama, Pulau Misool); Nafisa Tamima Sanoy (ibu, berasal dari Kampung Andey, anggota marga Sonoy/Sanoy suku Moi Ma'ya)"
Selly Andriany Gantina,Jawa Barat VIII,PDI-P,DPR RI; DPRD Jawa Barat; Ketua Komisi B DPRD Jawa Barat; Wakil Bupati Cirebon,Universitas Padjadjaran Bandung,,
Daniel Mutaqien Syafiuddin,Jawa Barat VIII,Golkar,DPR RI,S-1 Universitas Islam Indonesia,Ridha Triana (istri),H. Irianto MS Syafiuddin (Yance) (ayah); Hj. Anna Sophana (ibu)
Dave Laksono,Jawa Barat VIII,Golkar,DPR RI,S-1 California State University Northridge Amerika Serikat ,Celina Alexandra Xavier (istri),"Agung Laksono (ayah, mantan Ketua Umum Partai Golkar)"
Satori,Jawa Barat VIII,NasDem,DPR RI,S-2 Magister Manajemen Sekolah Tinggi Manajemen Jakarta; S-1 Institut Agama Islam Cirebon,,
Netty Prasetiyani,Jawa Barat VIII,PKS,DPR RI,S1 STBA LIA Jakarta; S2 Universitas Indonesia; S3 Universitas Padjadjaran,"Ahmad Heryawan (suami, Gubernur Jawa Barat periode 2008–2018)",
Herman Khaeron,Jawa Barat VIII,Demokrat,DPR RI,Universitas Islam Bandung; Institut Pertanian Bogor; Universitas Padjadjaran,,
Maman Imanul Haq,Jawa Barat IX,PKB,DPR RI,Sekolah Tinggi Agama Islam PUI Majalengka; Institut Agama Islam Negeri Syekh Nurjati,Upik Ropiqoh (istri),
Jefry Romdonny,Jawa Barat IX,Gerindra,DPR RI,S-1 Universitas Majalengka; S-2 Universitas Majalengka (2013–2015); S-2 STIE Pasundan; S-3 Universitas Pasundan,Dinar Tisnawati (istri),
TB Hasanuddin,Jawa Barat IX,PDI-P,DPR RI; Sekretaris militer presiden Megawati Soekarnoputri; Wakil Ketua Komisi I DPR RI (2009—2014),S-1 Universitas Pasundan; S-2 Universitas Pasundan ; S-3 Universitas Pasundan; Akademi Militer,Ika Eviolina (istri),"Sutisna (ayah, kepala desa); ST Burhanuddin (saudara, adik)"
Elita Budiati,Jawa Barat IX,Golkar,DPR RI,,,Reynaldi Putra (anak)
Galih Dimuntur Kartasasmita,Jawa Barat IX,Golkar,DPR RI,,"Roberta Nitiyudo K. (suami/istri, menikah pada Juli 2010)","Ghadiel Robert Kartasasmita (anak); Ghabrian Ginandjar Kartasasmita (anak); Ghiyan Rayyan Kartasasmita (anak); Ginandjar Kartasasmita (ayah); Yultin Harlotina (ibu); Agus Gumiwang Kartasasmita (saudara, kakak)"
Ujang Bey,Jawa Barat IX,NasDem,DPR RI,,,
Ateng Sutisna,Jawa Barat IX,PKS,DPR RI,,,
Farah Puteri Nahlia,Jawa Barat IX,PAN,DPR RI; Wakil Sekretaris Jenderal DPP PAN,S2 Royal Holloway University of London ,Ariq Arsyam (suami),"Muhammad Fadil Imran (ayah, pejabat tinggi kepolisian Republik Indonesia); Ina Adiati (ibu); Merdisyam (ayah mertua); Sitti Husniah Talenrang (bibi); Firdaus Daeng Manye (paman)"
Rina Sa'adah,Jawa Barat X,PKB,DPR RI,Universitas Al-Azhar; Universitas Indonesia; Universitas Padjadjaran,,
Rokhmat Ardiyan,Jawa Barat X,Gerindra,DPR RI,S1  Universitas Jayabaya Jakarta; S-2 Universitas Jayabaya Jakarta,Dian Marina Puspita (istri),
Ida Nurlaela Wiradinata,Jawa Barat X,PDI-P,DPR RI,,,
Agun Gunandjar Sudarsa,Jawa Barat X,Golkar,DPR RI; Ketua Komisi II DPR RI (2012–2014); Ketua Fraksi Partai Golkar MPR-RI (2009–2012),D-3 Akademi Ilmu Pemasyarakatan; S-1 Sekolah Tinggi Ilmu Administrasi LAN; S-2 Universitas Indonesia (2006);,Lilis Sulaeha (istri),
Shohibul Imam,Jawa Barat X,NasDem,DPR RI,,,
Surahman Hidayat,Jawa Barat X,PKS,DPR RI,S-1 Universitas Al Azhar; S-2 Universitas Al Azhar; S-3 Universitas Al Azhar,,
Herry Dermawan,Jawa Barat X,PAN,DPR RI,,,
Imas Aan Ubudiah,Jawa Barat XI,PKB,DPR RI,Sekolah Tinggi Agama Islam Yamisa,Bambang Susanto (suami),
Oleh Soleh,Jawa Barat XI,PKB,DPR RI,,,
Muhammad Husein Fadlulloh,Jawa Barat XI,Gerindra,DPR RI,S-1 Universitas Monash; S-2 Universitas Swiss German,,
Mulan Jameela,Jawa Barat XI,Gerindra,DPR RI,S-1 Universitas Kebangsaan,"Harry Nugraha (suami, menikah 1999, bercerai 2005); Ahmad Dhani (suami, menikah 2009)",
Dony Maryadi Oekon,Jawa Barat XI,PDI-P,DPR RI; Wakil Ketua Komisi VII DPR RI (2021–sekarang),S-1 Universitas Trisakti,Vanty Veronica (istri),
Ade Ginanjar,Jawa Barat XI,Golkar,DPR RI,,,
Ferdiansyah,Jawa Barat XI,Golkar,DPR RI,S-1 Universitas Krisnadwipayana; S-2 Universitas Persada Indonesia YAI,,
Lola Nelria Oktavia,Jawa Barat XI,NasDem,DPR RI,,,
Mohamad Sohibul Iman,Jawa Barat XI,PKS,DPR RI,S-1 Universitas Waseda Jepang; S-2 Takushoku University; S-3 Advanced Institute of Science and Technology (JAIST),Uswindraningsih Titus (istri),"Djojo Sutedjo (ayah); Iloh Halimah (ibu); Oded Mohamad Danial (kakak, Wali Kota Bandung periode 2018–2021); Dede Muhamad Muharam (kakak, Anggota DPRD Kota Tasikmalaya 2009–2014 dan 2019–2024)"
Hoerudin Amin,Jawa Barat XI,PAN,DPR RI,S-2 Universitas Islam Bandung; Sekolah Tinggi Agama Islam Persatuan Islam,,
Alamuddin Dimyati Rois,Jawa Tengah I,PKB,DPR RI,S1 Universitas Diponegoro; S2 Universitas Diponegoro,Aslikh Rina Ulyaddin (istri),"K.H. Dimyati Rois (ayah, ulama, pengasuh Pondok Pesantren Al-Fadllu Wal Fadhilah Kendal)"
Sugiono,Jawa Tengah I,Gerindra,DPR RI; Menteri Kabinet Merah Putih,S-1 Universitas Norwich; Sekolah Perwira Prajurit Karier TNI,"Supriyati (istri, seorang perawat di RS Bethesda)","Kasan Sumitrorejo (ayah, petani sekaligus perangkat desa); R. Ngt. Sutiyah Semito Rejo (ibu, dari Semanu, Kabupaten Gunungkidul)"
Jamal Mirdad,Jawa Tengah I,Gerindra,DPR RI,,"Lydia Kandou (istri, menikah 1984, bercerai 2013)",Nana Mirdad (anak); Kenang Mirdad (anak); Naysila Mirdad (anak); Andrew White (menantu)
Mochamad Herviano Widyatama,Jawa Tengah I,PDI-P,DPR RI,D-3 Universitas Indonesia; S-1 Universitas Indonesia; S-2 PPM School of Management,,
Samuel Wattimena,Jawa Tengah I,PDI-P,DPR RI; Staf Khusus Kementerian Pemberdayaan Perempuan dan Perlindungan Anak; Staf Khusus Kementerian Koperasi dan UKM,"Dosen penguji di Institut Kesenian Jakarta (IKJ), Esmod, dan Bunka fashion",,
Firnando Hadityo Ganinduto,Jawa Tengah I,Golkar,DPR RI,,,
Fadholi,Jawa Tengah I,NasDem,DPR RI,S-1 Institut Agama Islam Negeri Walisongo,Dra. Anis Rosiqoh (istri),
Muhammad Haris (politikus),Jawa Tengah I,PKS,DPR RI; Wakil Wali Kota Salatiga masa jabatan 2011–2016 dan 2017–2022,Universitas Gadjah Mada; Universitas Diponegoro,Ida Nurul Farida (istri),"Hamid Noor Yasin (saudara, adik)"
Yoyok Sukawi,Jawa Tengah I,Demokrat,DPR RI,S1 Universitas Kartini Surabaya; S2 Universitas 17 Agustus 1945 Semarang,"Swasti Aswagati (suami/istri, menikah tahun 2001)","Sukawi Sutarip (ayah, Wali Kota Semarang ke-12); Endang Setyaningdyah (ibu)"
Raja Faisal Manganju Sitorus,Jawa Tengah I,Demokrat,DPR RI,,Winda Marroko (istri),
Fathan Subchi,Jawa Tengah II,PKB,DPR RI; Staf Khusus Kementerian Tenaga Kerja dan Transmigrasi (2013–2014),S-1 Institut Agama Islam Al-Aqidah,Rohyati (istri),
Hindun Anisah,Jawa Tengah II,PKB,DPR RI,Pondok pesantren (ponpes) Hasyim Asy'ari,Nuruddin Amin (suami),K.H. Muhammad Nasih Hamid (ayah); Nyai Hj. Durroh Nafisah Ali (ibu)
Abdul Wachid,Jawa Tengah II,Gerindra,DPR RI,,Nunung Muchayatun (istri),
Musthofa,Jawa Tengah II,PDI-P,DPR RI; DPRD Kabupaten Kudus (2004–2008),S-3 Universitas Diponegoro; Sekolah Tinggi Komputer ITN Bandung,Sugiarti (istri),
Gilang Dhielafararez,Jawa Tengah II,PDI-P,DPR RI,S-1 Universitas Trisakti,Stephanie Ade Irawan (istri),
Nusron Wahid,Jawa Tengah II,Golkar,DPR RI; Menteri Kabinet Merah Putih,S-1 Universitas Indonesia; S-2 Institut Pertanian Bogor,Dily Rosi Timadar (istri),
Andhika Satya Wasistho,Jawa Tengah II,Golkar,DPR RI,,,
Jamaludin Malik,Jawa Tengah II,Golkar,DPR RI,,,
Lestari Moerdijat,Jawa Tengah II,NasDem,DPR RI,Universitas Indonesia; Universitas Pelita Harapan,Wawan Iriawan (suami),"dr. Tonny S. Moerdijat, SpOG (ayah, dokter spesialis kandungan)"
Marwan Jafar,Jawa Tengah III,PKB,DPR RI; Menteri Kabinet Kerja,S-1 Universitas Islam Indonesia Yogyakarta; S-1 Universitas Gajayana Malang; S2 Universitas Selangor,Ari Haryati (istri),
Eva Monalisa,Jawa Tengah III,PKB,DPR RI,,,
Sudewo,Jawa Tengah VII,Gerindra,DPR RI,S-1 Universitas Sebelas Maret; S-2 Universitas Diponegoro,Atik Kusdarwati (istri),
Danang Wicaksana Sulistya,Jawa Tengah III,Gerindra,DPR RI; Ketua DPP Gerindra Bidang Pekerjaan Umum pada 2012-2014,Universitas Islam Indonesia,,
Haryanto,Jawa Tengah III,PDI-P,DPR RI; Bupati Pati periode 2017–2022,Universitas Islam Indonesia; Universitas 17 Agustus 1945 Semarang,Dra. Musus Indarnani (istri),Tresya Okta Vera Harani Putri Diszawanti (anak)
Evita Nursanty,Jawa Tengah III,PDI-P,DPR RI,S-1 Universitas Indonesia; S-2 Universitas Gadjah Mada; S-3 Universitas Padjadjaran ,Iqbal Alan Abdullah (suami),
Edy Wuryanto,Jawa Tengah III,PDI-P,DPR RI,S-1 Universitas Indonesia; S-2 Universitas Indonesia; S-3 Universitas Gadjah Mada,Elfiana Orfa (istri),
Firman Soebagyo,Jawa Tengah III,Golkar,DPR RI,Universitas Padjadjaran; Universitas Gadjah Mada,Afni Arianingsih (istri),
Sri Wulan,Jawa Tengah III,NasDem,DPR RI; DPRD Provinsi Jawa Tengah Fraksi Gerindra (2009-2014),D3 Universitas Islam Indonesia; S-1 Universitas Islam Indonesia; S-2 Universitas Islam Sultan Agung,,
Harmusa Oktaviani,Jawa Tengah III,Demokrat,DPR RI,S-1 Universitas Diponegoro; S-2 Universitas 17 Agustus 1945 Semarang,Wahyu Tejo Sudarmawan (suami),
Sriyanto Saputro,Jawa Tengah IV,Gerindra,DPR RI,,,
Bambang Wuryanto,Jawa Tengah IV,PDI-P,DPR RI; Wakil Ketua Komisi I DPR RI; Ketua Komisi III DPR RI,Universitas Gadjah Mada,Sutarni (istri),Casytha Arriwi Kathmandu (anak)
Dolfie Othniel Frederic Palit,Kalimantan Barat,PDI-P,DPR RI; Staf Khusus Bidang Kelembagaan Kementerian Koordinator Bidang Pembangunan Manusia dan Kebudayaan Republik Indonesia (2014–2019); Wakil Ketua Komisi XI DPR RI (2021–sekarang),S-1 Institut Teknologi Bandung,Nita E.L. Lumowa (istri),
Pinka Hapsari,Jawa Tengah IV,PDI-P,DPR RI,School of Oriental and African Studies (SOAS) Universitas London; Institut Teknologi Bandung,,Puan Maharani (ibu); Megawati Soekarnoputri (nenek); Soekarno (kakek buyut)
Juliyatmono,Jawa Tengah IV,Golkar,DPR RI; Bupati Karanganyar 2013—2018 dan 2018—2023; Wakil Ketua DPRD Kabupaten Karanganyar periode 2009—2013; Ketua Fraksi Golkar DPRD Kabupaten Karanganyar (1999 – 2004),S-1 Universitas Muhammadiyah Surakarta; S-2 Universitas Muhammadiyah Surakarta,Siti Khomsiyah (istri),Ilyas Akbar Almadani (anak)
Hamid Noor Yasin,Jawa Tengah IV,PKS,DPR RI,,,"Muhammad Haris (saudara, kakak, Wakil Wali Kota Salatiga periode 2011-2022)"
Rinto Subekti,Jawa Tengah IV,Demokrat,DPR RI; Ketua DPD Partai Demokrat Provinsi Jawa Tengah,,,
Muhammad Toha,Jawa Tengah IV,PKB,DPR RI; Wakil Bupati Sukoharjo 2 periode 2000 – 2005 dan 2005 - 2010,Universitas Sebelas Maret,,"Suganda (ayah, meninggal tahun 1929); Nariah (ibu, berasal dari Kedunghalang, Bogor Utara); Sugandi (ayah tiri, adik ayah kandung Toha, menikah dengan ibu Nariah namun kemudian bercerai); Jahiri (kakek (dari ayah)); Oneng (nenek (dari ayah)); Ben Alamsyah (paman, pemimpin Barisan Rakjat Indonesia (BRI))"
Adik Sasongko,Jawa Tengah IV,Gerindra,DPR RI,,,
Puan Maharani,Jawa Tengah V,PDI-P,DPR RI; Ketua DPR RI periode 2024–2029; Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Indonesia antara 2014 hingga 2019,Universitas Diponegoro; Institut Teknologi Bandung; Universitas Indonesia,"Hapsoro Sukmonohadi (suami, menikah tahun 1998)","Pinka Haprani (anak, termasuk dalam 2 anak); Taufiq Kiemas (ayah); Megawati Soekarnoputri (ibu); Soekarno (kakek); Fatmawati (nenek); Prananda Prabowo (saudara seibu); Rachmawati (bibi)"
Aria Bima,Jawa Tengah V,PDI-P,DPR RI; DPR RI 2004–2009; DPR RI 2009–2014; DPR RI 2014–2019; DPR RI 2019–2024,Universitas Gadjah Mada,,
Rahmad Handoyo,Jawa Tengah V,PDI-P,DPR RI,S-1 Universitas Diponegoro; S-2 Universitas Trisakti,Swasti Agustriana (istri),
Didik Haryadi (politikus),Jawa Tengah V,PDI-P,DPR RI,,,
Singgih Januratmoko,Jawa Tengah V,Golkar,DPR RI,S-1 Universitas Gadjah Mada; S-2 Universitas Pembangunan Nasional Veteran Yogyakarta,,
Abdul Kharis Almasyhari,Jawa Tengah V,PKS,DPR RI,Universitas Sebelas Maret; Universitas Diponegoro,"Retno Sintowati (istri, menikah pada 24 Februari 1991)","Syaibani (ayah, kiai pemilik pondok pesantren di Purworejo); Muslimah (ibu)"
Muhammad Hatta,Jawa Tengah V,PAN,DPR RI,Sebro Nitro Institute,"Siti Rahmiati (istri, menikah tahun 1945)","Meutia Hatta (anak, putri); Gemala Hatta (anak, putri); Halida Hatta (anak, putri); Des Alwi (anak angkat); Muhammad Djamil (ayah); Siti Saleha (ibu); Abdurrahman Batuhampar (kakek, dari pihak ayah); Rafiah (saudara kandung, kakak perempuan, lahir tahun 1900)"
Abdullah,Jawa Tengah VI,PKB,DPR RI; Tenaga Ahli DPR RI Fraksi Partai Kebangkitan Bangsa (2014–2019),Universitas Hasyim Asy'ari,,
Prasetyo Hadi,Jawa Tengah VI,Gerindra,DPR RI; Menteri Kabinet Merah Putih,S-1 Universitas Gadjah Mada,"Wahyu Fibriyanti (istri, menikah tahun 2010)",
Azis Subekti,Jawa Tengah VI,Gerindra,DPR RI,Universitas Muhammadiyah Jakarta,,
Sudjadi,Jawa Tengah VI,PDI-P,DPR RI,S-1 Universitas Gadjah Mada,Rektna Arimurti (istri),
Wibowo Prasetyo,Jawa Tengah VI,PDI-P,DPR RI,,,
Vita Ervina,Jawa Tengah VI,PDI-P,DPR RI,S-1 Universitas Pancasila; S-2 Universitas Gadjah Mada,,
Sofwan Dedy Ardyanto,Jawa Tengah VI,PDI-P,DPR RI,,,
Panggah Susanto,Jawa Tengah VI,Golkar,DPR RI; Dirjen BIM Kementerian Perindustrian Republik Indonesia (2010–2013); Dirjen Industri Agro Kementerian Perindustrian Republik Indonesia (2013–2018); Dirjen IUBTT Kementerian Perindustrian Republik Indonesia (2014–2015), S-1 Institut Teknologi Bandung; Sekolah Tinggi Ilmu Ekonomi IPWI Jakarta,Sri Hariningsih (istri),
Nafa Urbach,Jawa Tengah VI,NasDem,DPR RI,,"Zack Lee (suami, menikah 2007, bercerai 2017)","Mikhaela Lee Jowono (anak, anak perempuan, lahir 8 Februari 2011); Ronald Walter Urbach (ayah); Neneng Kusuma (ibu); Alam Urbach (adik); Joey Alexander (keponakan)"
Bramantyo Suwondo,Jawa Tengah VII,Demokrat,DPR RI,Akademi Angkatan Bersenjata Republik Indonesia; Universitas Monash,,"Gatot Mudiantoro Suwondo (ayah, mantan Direktur Utama PT Bank Negara Indonesia (Persero) Tbk); Susilo Bambang Yudhoyono (paman, mantan presiden RI ke enam); Agus Harimurti Yudhoyono (sepupu); Ibas Yudhoyono (sepupu)"
Taufiq R. Abdullah,Jawa Tengah VII,PKB,DPR RI,Universitas Islam Negeri Sunan Ampel Surabaya,Ida Fauziyah (istri),
Darori Wonodipuro,Jawa Tengah VII,Gerindra,DPR RI; Dewan Penasehat Anggota DPR RI Fraksi Partai Gerindra,S-1 Universitas Gadjah Mada; S-2 Universitas Sumatera Utara,Suwartina (istri),
Utut Adianto,Jawa Tengah VII,PDI-P,DPR RI; Ketua Fraksi PDI Perjuangan (2019–sekarang),S-1 Universitas Padjadjaran,"Tri Hatmanti (istri, Dr. Tri Hatmanti)",Mekar Melati Mewangi (anak)
Bambang Soesatyo,Jawa Tengah VII,Golkar,DPR RI,S-1 Sekolah Tinggi Ilmu Ekonomi Indonesia Jakarta; S-2 Sekolah Tinggi Manajemen Institut Manajemen Newport Indonesia; S-3 Universitas Padjadjaran; S-1 Universitas Terbuka,"Lenny Sri Mulyani (istri, Juga disebut sebagai Lenny Sri di bagian artikel)",Ruslan Aspan (besan)
Amelia Anggraini,Jawa Tengah VII,NasDem,DPR RI; Deklarator dan pengurus pusat organisasi Garda Wanita Malahayati (Garnita) Nasional Demokrat,Universitas Kebangsaan Malaysia,,
Rofik Hananto,Jawa Tengah VII,PKS,DPR RI,Sekolah Tinggi Akuntansi Negara (STAN); S-1 STIE Muhammadiyah Jakarta,,"Fahmi Muhammad Hanif (anak, termasuk dari 6 anak)"
Aqib Ardiansyah,Jawa Tengah VII,PAN,DPR RI,Universitas Islam Malang; Universitas Jenderal Soedirman; Universitas Nasional,,
Siti Mukaromah,Jawa Tengah VIII,PKB,DPR RI; Staf Ahli Fraksi PKB DPR-RI (2009–2014),S-1 Pendidikan Agama Islam STAIN Purwokerto; S-2 Universitas Nasional,Johan Suprayitno (suami),
Novita Wijayanti,Jawa Tengah VIII,Gerindra,DPR RI; Anggota DPRD Provinsi Jawa Tengah periode 2004-2009 dan 2009-2013,S-1 Universitas Jenderal Soedirman; S-2 Sekolah Tinggi Ilmu Ekonomi Mitra Yogyakarta; S-3 Universitas Persada Indonesia YAI,,
Kaisar Kiasa Kasih Said Putra,Jawa Tengah VIII,PDI-P,DPR RI,,"Intan Marialianita (suami/istri, pasangan)","Said Abdullah (ayah, politikus PDI Perjuangan); Winarti (ibu)"
Adisatrya Suryo Sulisto,Jawa Tengah VIII,Demokrat,DPR RI,S-2 University of London,,"Suryo B. Sulisto (ayah, Ketua Kadin Periode 2010-2015)"
Teti Rohatiningsih,Jawa Tengah VIII,Golkar,DPR RI,S-1 Universitas Wijayakusuma Purwokerto,Tatto Suwarto Pamuji (suami),
Sugeng Suparwoto,Jawa Tengah VIII,NasDem,DPR RI; Staf Khusus Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi Republik Indonesia; Staf Khusus Kementerian Agraria dan Tata Ruang Republik Indonesia; Ketua Komisi VII DPR RI (2019–2024); Wakil Ketua Komisi XII DPR RI (2024–sekarang),S-1 Universitas Negeri Jakarta; S-2 Universitas Trisakti,Amelia Anggraini (istri),
Yanuar Arif Wibowo,Jawa Tengah VIII,PKS,DPR RI,,,
Wastam,Jawa Tengah VIII,Demokrat,DPR RI,S-1 Universitas Wijayakusuma; Universitas Diponegoro,,
Eka Widodo,Jawa Tengah IX,PKB,DPR RI,S-1 Universitas Gadjah Mada,,
Irianto Mahfudz Sidik Syafiuddin,,,Wakil Ketua DPRD Jawa Barat; Bupati Indramayu dua periode 2000–2005 dan 2005–2010,,"Anna Sophana (istri, juga dikenal sebagai Hj. Anna Sophanah, Bupati Indramayu)","H. Mursyid Ibnu Syafiuddin (ayah, mantan Bupati Indramayu tahun 1946-1948); Hj. Nyi Iyeng (ibu); Dinny Yuniarti Syafiyana (anak); Daniel Muttaqien Syafiuddin (anak); Deani Iyeng Syafiyana (anak)"
Anna Sophana,,,Bupati Indramayu periode 2010 - 2018,,"Dr. H. Irianto Mahfudz Sidik Syafiuddin (suami, bupati sebelumnya)",H. Ahmad Ajiddin (ayah); Hj. No'anih (ibu)
Agung Laksono,,,Menteri Koordinator Bidang Kesejahteraan Rakyat; Ketua DPR; Wakil Ketua Umum DPP; Ketua Umum DPP Partai Golkar,,,"Dave Laksono (anak, termasuk dalam 3 anak)"
Ahmad Heryawan,,,DPR RI; Gubernur Jawa Barat; DPRD DKI Jakarta; Wakil Ketua DPRD DKI Jakarta,,"Netty Prasetiyani (istri, menikah tahun 1991)",
Ika Eviolina,,,Pemeran,,TB Hasanuddin (suami),Syaiful Anwar (ayah); Ninuk (ibu)
ST Burhanuddin,,,Jaksa Agung Republik Indonesia; Guru Besar tidak tetap Fakultas Hukum Universitas Jenderal Soedirman,,,"Tubagus Hasanuddin (saudara, kakak)"
Reynaldy Putra Andita Budi Raemi,,,Bupati Subang 2025–2030,,,"Elita Budiati (ibu, Ketua DPD Golkar Subang)"
Ginandjar Kartasasmita,,,Politikus; Dewan Pertimbangan Presiden; Ketua DPD,,Yultin Harlotina (istri),Gita (anak); Agus Gumiwang Kartasasmita (anak); Galih Dimuntur Kartasasmita (anak); Gaya (anak); Husein Kartasasmita (ayah); Ratjih Natawidjaja (ibu)
