Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Dede Yusuf,Jawa Barat II,Demokrat; PAN,Wakil Gubernur Jawa Barat; DPR RI,Universitas Muhammadiyah Jakarta; Universitas Padjajaran,"Sendy Ramania Wurandani (istri, menikah awal tahun 1999 setelah berpacaran 7 tahun)","Alifiya Yusuf (anak, nama lengkap Alifiya Arkana Paramita); Kaneishia Yusuf (anak); Tammy Effendi (ayah, mantan Direktur Taman Ismail Marzuki Jakarta); Rahayu Effendi (ibu, penari di Istana Bogor, pramugari Garuda Indonesia, bintang film); Roestam Effendi (kakek (dari ayah), pujangga prosa angkatan 1945, berasal dari Koto Gadang, Sumatera Barat)"
Neng Eem Marhamah Zulfa Hiz,Jawa Barat III,PKB,DPR RI,STAIN Kediri; Universitas Tama Jagakarsa,,
Kamrussamad,Jawa Barat III,Gerindra,DPR RI,Universitas Muslim Indonesia; Universitas Indonesia,Andi Nirawati (istri),
Endang Setyawati Thohari,Jawa Barat III,Gerindra,DPR RI,Universitas Diponegoro; Universitas Montpellier I Perancis; Institute Agronomique Mediteriane Montpellier Perancis,Machmud Thohari (suami),
Muhamad Abdul Aziz Sefudin,Jawa Barat III,PDI-P,DPR RI,Universitas Langlang Buana,,
Budhy Setiawan,Jawa Barat III,Golkar,DPR RI,Institut Pertanian Bogor; Universitas Padjadjaran,Yongki Cahyaningrum (istri),Nazneen Alya Sharmaine (anak)
Isfhan Taufik Munggaran,Jawa Barat III,Golkar,DPR RI,SMAN 1 CIANJUR,,
Ilham Permana,Jawa Barat III,Golkar,DPR RI,Politeknik Swadharma BNI 46; Universitas Wiraswasta Indonesia; Universitas Budi Luhur Jakarta,,
Ananda Tohpati,Jawa Barat III,NasDem,DPR RI,Universitas Tarumanagara; Universitas Indonesia,,"Siti Nurbaya Bakar (ibu, mantan Menteri Lingkungan Hidup dan Kehutanan)"
Ecky Awal Mucharam,Jawa Barat III,PKS,DPR RI,STAN Jakarta; STIE Indonesia,,
