Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Puteri Komarudin,Jawa Barat VII,Golkar,DPR RI,Trinity College Foundation Studies; University of Melbourne Australia,,
Saan Mustopa,Jawa Barat VII,Demokrat,Wakil Ketua DPR RI; DPR RI,Universitas Pendidikan Indonesia; Universitas Indonesia,,
Ahmad Syaikhu,Jawa Barat VII,PKS,Presiden Partai Keadilan Sejahtera 2020-2025; DPR RI; Wakil Wali Kota Bekasi,Sekolah Tinggi Akuntansi Negara,,
Jalal Abdul Nasir,Jawa Barat VII,PKS,DPR RI,Politeknik Keuangan Negara STAN,,
Verrell Bramasta,Jawa Barat VII,PAN,DPR RI,Universitas Pelita Harapan; Institut Komunikasi dan Bisnis LSPR; Universitas Oxford,,
Cellica Nurrachadiana,Jawa Barat VII,Demokrat,DPR RI; Bupati Karawang; Wakil Bupati Karawang; DPRD Jawa Barat,Universitas Katolik Soegijapranata; Universitas Katolik Soegijapranata,,
Dedi Wahidi,Jawa Barat VIII,PKB,DPR RI; Wakil Bupati Indramayu,Universitas Swadaya Gunung Jati,,
Kardaya Warnika,Jawa Barat VIII,Gerindra,DPR RI,Institut Teknologi Bandung; Universitas Indonesia; École Nationale Supérieure du Pétrole et des Moteurs; Institut Français du Pétrole; Universite de Ijon,,
Rokhmin Dahuri,Jawa Barat VIII,PDI-P,Menteri Kelautan dan Perikanan Indonesia; DPR RI,Institut Pertanian Bogor; Dalhousie University,,
Zulkifli Hasan,,,Menteri Koordinator Bidang Pangan Indonesia; Menteri Perdagangan Indonesia; Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Ketua Umum Partai Amanat Nasional; Menteri Kehutanan Indonesia,,,
Dendi Ramadhona,,,Bupati Pesawaran,,,
Taufiq R. Abdullah,,,DPR RI,,,
Aksa Mahmud,,,Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia,,,
Jusuf Kalla,,,Wakil Presiden Indonesia; Ketua Umum Partai Golongan Karya; Menteri Koordinator Bidang Kesejahteraan Rakyat Indonesia; Menteri Perindustrian dan Perdagangan Indonesia; Ketua Umum Palang Merah Indonesia,,,
Ridwan Kamil,,,Gubernur Jawa Barat; Wali Kota Bandung,,,
Netty Prasetiyani,,,DPR RI,,,
Moehamad Soeparno,,,Direktur Utama Garuda Indonesia,,,
Sugiono (politikus),,,Menteri Luar Negeri Indonesia; DPR RI; Sekretaris Jenderal Partai Gerakan Indonesia Raya,,,
Jihan Fahira,,,DPD RI,,,
Suryadharma Ali,,,Menteri Agama Indonesia; DPR RI; Menteri Koperasi Indonesia{{!}}Menteri Negara Koperasi dan Usaha Kecil Indonesia; Ketua Umum Partai Persatuan Pembangunan,,,
Nanda Indira Bastian,,,Bupati Pesawaran ke-3,,,
Sjachroedin ZP,,,Duta Besar Indonesia untuk Kroasia ke-3; Gubernur Lampung ke-7,,,
Ahmad Mumtaz Rais,,,DPR RI,,,
Zumi Zola,,,Gubernur Jambi ke-8; Bupati Tanjung Jabung Timur ke-2,,,
Diza Hazra Aljosha,,,Wakil Wali Kota Jambi ke-2,,,
Sum Indra,,,DPD RI; Wakil Wali Kota Jambi ke-5,,,
Zulkifli Nurdin,,,Gubernur Jambi ke-6; DPR RI,,,
Helmi Hasan,,,Gubernur Bengkulu ke-11; Wali Kota Bengkulu ke-14; Anggota DPRD Provinsi Bengkulu; Anggota DPRD Kota Bengkulu,,,
Zainudin Hasan,,,Bupati Lampung Selatan Ke-15,,,
Jihan Nurlela,,,Wakil Gubernur Lampung ke-10; DPD RI,,,
