Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Bob Andika Mamana Sitepu,Sumatera Utara III,PDI-P,DPR RI,SD Methodist Binjai; SMP Methodist Binjai ; SMA Methodist Binjai; Universitas Pembangunan Panca Budi ,,
Bane Raja Manalu,Sumatera Utara III,PDI-P,DPR RI,SD Inpres Sintanauli; SMP Pembangunan Saribu Jawa; SMA 3 Pemantang Siantar; Universitas Indonesia,,
Ahmad Doli Kurnia Tandjung,Sumatera Utara III,Golkar,DPR RI,SD Bhayangkari Medan; SMPN 1 Medan; SMAN 1 Medan; Universitas Padjadjaran; Institut Teknologi Bandung,,
Delia Pratiwi Sitepu,Sumatera Utara III,Golkar,DPR RI,SD Swasta Ahmad Yani; SMP Swasta Ahmad Yani; SMA AL AZHAR; Universitas Muhammadiyah Sumatera Utara,,
Ngogesa Sitepu,,,Bupati Langkat ke-14,,,
Rizky Yunanda Sitepu,,,Wakil Wali Kota Binjai Ke-5; DPRD Provinsi Sumatera Utara,,,
Mangihut Sinaga,Sumatera Utara III,Golkar,DPR RI,SDN Kp Juhar; SMPN Kp Juhar; SMPS Pematang Siantar; Universitas Tridharma Balikpapan; Universitas Airlangga,,
Rudi Hartono Bangun,Sumatera Utara III,NasDem,DPR RI; Ketua DPRD Kabupaten Langkat,SD Swasta Ahamad Yani; SMP Swasta Ahamad Yani; SMA Taman Siswa Binjai;  STIE Taman Harapan; Universitas Medan Area ,,
Ansory Siregar,Sumatera Utara III,PKS,DPR RI,SDN NAGASARIBU PALUTA; SMPN LUMUT TAPTENG; Pondok Modern Darussalam Gontor Ponorogo; Damaskus syria,,
Nasril Bahar,Sumatera Utara III,PAN,DPR RI,SD Muhammadiyah 01 Medan; SMP Mualimin Muhammadiyah; SMA Negeri 6 Medan; Universitas Muhammadiyah Sumatera Utara,,
Hinca I. P. Pandjaitan XIII,Sumatera Utara III,Demokrat,DPR RI; Sekretaris Jenderal Partai Demokrat; Ketua Umum PSSI; Wakil Ketua Umum PSSI,SD Negeri Aek Songsongan Bandar; SD Negeri Gambir Baru Kisaran Asahan; SMP Negeri I Kisaran Asahan; SMA Negeri I Kisaran Asahan; Universitas HKBP Nommensen; Universitas Padjajaran; Universitas Pelita Harapan ,,
Rico Alviano,Sumatera Barat I,PKB,DPR RI; DPRD Provinsi Sumatera Barat,SDN 15 PETANG JAKARTA; SMP PERSADA JAKARTA; SMK N 2 SAWAH LUNTO; UNIVERSITAS ISLAM SUMATERA UTARA,,
Andre Rosiade,Sumatera Barat I,Gerindra,DPR RI; Ketua DPD Partai Gerindra Sumatera Barat,YOS SUDARSO PADANG; YOS SUDARSO PADANG; SMA 2 PADANG; UNIVERSITAS TRISAKTI,,
Nurul Anastasia,,,Artis,,,
Pratama Arhan,,,Pemain Sepak Bola,,,
Alex Indra Lukman,Sumatera Barat I,PDI-P,DPR RI,Agnes Padang; Frater Padang; Don Bosco Padang; Farank Furt Am Main Jerman; Universitas Mustopo Jakarta,,
Zigo Rolanda,Sumatera Barat I,Golkar,DPR RI; Ketua DPRD Kabupaten Solok Selatan; DPRD Provinsi Sumatera Barat,SD Negeri 10 Rimbo Tangah; MTs Negeri Lubuk Gadang; SMA Negeri 3 Solok Selatan; Universitas Andalas; STIE AKBP,,
Khairunas,,,Bupati Solok Selatan ke-3; Anggota DPRD Sumatera Barat; Ketua DPRD Kabupaten Solok Selatan; Anggota DPRD Kabupaten Solok,,,
Lisda Hendrajoni,Sumatera Barat I,NasDem,DPR RI,SDN 02 Tj.Aman; SMP Negeri 5 Kotabumi; SMA Negeri 1 Kotabumi; Universitas Surapati; Sekolah Tinggi Manajemen Transportasi Trisakti; Universitas Negeri Padang,,
Hendrajoni,,,Bupati Pesisir Selatan ke-16 dan ke-18,,,
Muhammad Shadiq Pasadigoe,Sumatera Barat I,NasDem,DPR RI; Bupati Tanah Datar ke-10,SD NEGERI 4 BATUSANGKAR; SMP NEGERI 1 BATASUNGKUR; SMA NEGERI 1 BATUSANGKAR; UNIVERSITAS ANDALAS,,
Betti Shadiq Pasadigoe,,,DPR RI,,,
Rahmat Saleh,Sumatera Barat I,PKS,DPR RI; Anggota DPRD Sumatera Barat,SMP Negeri 7 Kotanopan; SMA Negeri 1 Koto XI Tarusan; Universitas Andalas; ,,
Athari Ghauthi Ardi,Sumatera Barat I,PAN,DPR RI,SD Muhammadiyah 24 Jakarta; SMP Islam Al-Azhar 12 Rawamangun Jakarta; SMA Negeri 70 Jakarta; Universitas Bina Nusantara; Universitas Pelita Harapan; Universitas Bung Karno; Universitas Wiraswasta Indonesia,,
Epyardi Asda,,,Bupati Solok ke-17; DPR RI,,,
Ade Rezki Pratama,Sumatera Barat II,Gerindra,DPR RI,Universitas Wiraswasta Indonesia; SMP Negeri 6 Bukittinggi; SMA Negeri 2 Bukittinggi; Universitas Trisakti; ,,
Irdinansyah Tarmizi,,,Bupati Tanah Datar ke-11; Wakil Bupati Tanah Datar ke-5,,,
Nelson Septiadi,,,Pengusaha,,,
Benny Utama,Sumatera Barat II,Golkar,DPR RI; Bupati Pasaman ke-16 dan ke-18; DPRD Provinsi Sumatera Barat; Wakil Bupati Pasaman ke-1,SD Negeri 2 Lubuk Sikaping; SMEP Negeri Lubuk Sikaping; Sekolah Menengah Pembangunan Persiapan (SMPP) 35 Jakarta;  Universitas Muhammadiyah Sumatera Barat; Universitas Negeri Padang,,
Cindy Monica Salsabila Setiawan,Sumatera Barat II,NasDem,DPR RI,TK DEK Padang; SD Pembangunan Jaya Jakarta; SMP Tunas Indonesia Jakarta; SMA Don Bosco Padang; Universitas Andalas,,
Nevi Zuairina,Sumatera Barat II,PKS,DPR RI,SD 01 Pagi Rawamangun Jakarta; SLTP Negeri 74 Jakarta; SMA Negeri 31 Jakarta; Universitas Indonesia; Universitas Andalas; Universitas Negeri Padang,,
Irwan Prayitno,,,Rektor Universitas Adzkia; Gubernur Sumatera Barat ke-9; DPR RI,,,
Arisal Aziz,Sumatera Barat II,PAN,DPR RI,SMA Setia Dharma Pekanbaru,,
Mulyadi,Sumatera Barat II,Demokrat,DPR RI,SD Negeri 19 Bukit Apit; SMP Negeri Gadut Kab. Agam; SMA Negeri 11 Bandung; Akademi Teknik Pekerjaan Umum; Universitas Trisakti,,
Iyeth Bustami,Riau I,PKB,DPR RI,SD Negeri 02 Bengkalis; SMP Negeri 1 Bengkalis;  Paket C Kelompok Belajar Cerdas,,
Muhammad Rahul,Riau I,Gerindra,DPR RI; Ketua DPD Partai Gerindra Riau,SD Islam 020 Sukajadi; SMP Negeri 32 Pekanbaru; SMA Negeri 5 Pekanbaru; Universitas Esa Unggul,,
Muhammad Nasir,,,DPR RI,,,
Dewi Juliani,Riau I,PDI-P,DPR RI,SD Ignatius Slamet Riyadi Bandung; SMP BPI Bandung; SMA Negeri 20 Bandung; Universitas Batanghari,,
Syamsuar,Riau I,Golkar,DPR RI; Gubernur Riau ke-13; Bupati Siak ke-2; Wakil Bupati Siak ke-1; Bupati Kepulauan Meranti; Ketua DPD I Partai Golkar Riau,Akademi Pemerintahan Dalam Negeri; Universitas Sumatera Utara; Universitas Riau,,
Maharani,Riau I,Golkar,DPR RI,SDN 013 Sintong; SMP 4 Tanah Putih; SMAN 3 Tanah Putih; Universitas Abdurab Pekanbaru; Universitas Lancang Kuning,,
Afrizal Sintong,,,Bupati Rokan Hilir ke-4; Anggota DPRD Kabupaten Rokan Hilir; Ketua DPD II Golkar Rohil,,,
Karmila Sari,Riau I,Golkar,DPR RI,SMA Negeri 1 Pekanbaru; Universitas Tarumanegara; Universitas Indonesia; Universitas Brawijaya ,,
Bistamam,,,Bupati Rokan Hilir ke-5,,,
Hendry Munief,Riau I,PKS,DPR RI,SD TELADAN PEKANBARU; SMPN 4 PEKANBARU; SMPN 7 BANDUNG; SMAN 2 BANDUNG; Universitas Padjadjaran; UNIVERSITY OF MALAYSIA; UNIVERSITY KEBANGSAAN MALAYSIA ,,
Achmad,Riau I,Demokrat,DPR RI; Bupati Rokan Hulu ke-2,SDN 02 Pasir Pengaraian; SMPN 5 Pekanbaru; SMA Negeri 2 Pekanbaru; Institut Pemerintahan Dalam Negeri; Institut Ilmu Pemerintahan; Universitas Riau; Institut Pemerintahan Dalam Negeri,,
Abdul Wahid,Riau II,PKB,DPR RI; Gubernur Riau ke-15; Anggota DPRD Provinsi Riau,SD Negeri Sei Simbar; MTs Sei Simbar; Pondok Pesantren Ashhabul Yamin; Universitas Islam Negeri Sultan Syarif Kasim; Universitas Riau,,
Mafirion,Riau II,PKB,DPR RI,SD N 2 Pulau Kijang; SMP N 9 Pulau Kijang; SMA Srirama Pekanbaru; Universitas Nasional,,
Muhammad Rohid,Riau II,Gerindra,DPR RI,SD 01 SAIL; SMP FUTURE ISLAMIC SCHOOL; SMA WITAMA NASIONAL PLUS; UNIVERSITY OF NORTHUMBRIA,,
Muhammad Nasir,,,DPR RI,,,
Muhammad Rahul,,,DPR RI; Ketua DPD Partai Gerindra Riau,,,
Siti Aisyah,Riau II,PDI-P,DPR RI,SDN 07 Bekasap duri; SMPN 2 Pekanbaru; SMAN 1 Pekanbaru; Universitas Lancang Kuning Pekanbaru; Institut Agama Islam Negeri Pekanbaru; Universitas Sumatera Utara,,
Yulisman,Riau II,Golkar,DPR RI,SDN Negeri 001 Airmolek; SMP Negeri 1 Airmolek; SMA Negeri 1 Airmolek; Universitas Riau; Universitas Lancang Kuning; Universitas Muhammadiyah Malang,,
Syahrul Aidi Maazat Lc.,Riau II,PKS,DPR RI; Wakil Ketua DPRD Kampar; Anggota DPRD Kampar,SD Negeri 036 Kampar; SMP Ponpes Islamic Center Al-Hidayah Kampar; SMA Ponpes Islamic Center Al-Hidayah Kampar; Universitas Al-Azhar Mesir; Universitas Al-Bayt Yordania,,
Sahidin,Riau II,PAN,DPR RI,SDN 020 Senapelan Pekanbaru; SMP Negeri 2 Pekanbaru; Sekolah Teknologi Pertanian Medan; Universitas Sumatera Utara; Universitas Lancang Kuning,,
Elpisina,Jambi,PKB,DPR RI; Wakil Ketua DPRD Kabupaten Batang Hari; Wakil Ketua DPRD Kabupaten Batang Hari,SD Negeri 144/I Pasar Terusan; SMP Negeri 2 Muara Tembesi; SMA Negeri Muara Bulian; Politeknik Pertanian Universitas Andalas; Universitas Sunan Giri Surabaya; Universitas W.R. Supratman,,
Rocky Candra,Jambi,Gerindra,DPR RI; Wakil Ketua DPRD Provinsi Jambi,SD Negeri 1 Gedung Air; SLTP Negeri 10 Bandar Lampung; SMA Swasta PGRI 1 Sungai Penuh; STIE Rahmaniyah Sekayu,,
Edi Purwanto,Jambi,PDI-P,DPR RI; Ketua DPRD Provinsi Jambi,SD Negeri 327 Batu Putih; SMP Negeri 2 Singkut; MAN 2 Kota Jambi; IAIN STS Jambi; Universitas Indonesia; Universitas Jambi,,
Cek Endra,Jambi,Golkar,DPR RI; Bupati Sarolangun ke-3; Wakil Bupati Sarolangun ke-2,SD Negeri 56 Mandiangin; SMP Negeri 4 Kota Jambi; SMK Negeri 1 Kota Jambi;  Akademi Uang dan Bank Yogyakarta; Universitas Krisnadwipayana,,
Hasan Basri Agus,Jambi,Golkar,DPR RI; Gubernur Jambi ke-7; Bupati Sarolangun ke-2,SD NEGERI NO 50/VI; MTS A.I.NOLAKKEMANG; SMA NEGERI I JAMBI; APDN JAMBI; Universitas Sumatera Utara; STIM LPMI,,
Kemas Muhammad Fuad,,,Wakil Bupati Muaro Jambi ke-3,,,
Syarif Fasha,Jambi,NasDem,DPR RI; Wali Kota Jambi ke-11,SD Pertamina IX Palembang; SMP Negeri 16 Palembang; SMA Methodist II Palembang; Politeknik Negeri Sriwijaya; Sekolah Tinggi Ilmu Ekonomi Jambi;  Institut Pemerintahan Dalam Negeri,,
A. Bakri HM,Jambi,PAN,DPR RI,SDN 28/V Simbur Naik Jambi; SMPN 9 Jambi; SMA Xaverius 1 Jambi; Universitas Muhammadiyah Jambi,,
Zulfikar Achmad,Jambi,Demokrat,DPR RI; Bupati Bungo ke-6,SR Negeri; SMP Negeri Muara Bungo; SMA Negeri Bangko; Akademi Tata Laksana Pelayaran Niaga (ATPN) Veteran; Administrasi Negara Universitas 17 Agustus 1945,,
SN Prana Putra Sohe,Sumatera Selatan I,PKB,DPR RI; Wali Kota Lubuk Linggau ke-2; Wakil Wali Kota Lubuk Linggau ke-2,SD Xaverius Lubuk Linggau; SMP 1 Lubuk Linggau; SMAN 2 Palembang; Universitas Sriwijaya; STIE Widya Jayakarta,,
Kartika Sandra Desi,Sumatera Selatan I,Gerindra,DPR RI; Ketua DPD Partai Gerindra Sumatera Selatan; Wakil Ketua II DPRD Provinsi Sumatera Selatan,SMA Negeri 8 Palembang; Universitas Sjakhyakirti; Universitas Muhammadiyah Palembang,,
Yulian Gunhar,Sumatera Selatan I,PDI-P,DPR RI,SD Negeri 82 Palembang; SMP Gajah Mada Palembang; SMA Negeri 3 Palembang; Universitas Lampung; Universitas Muhammadiyah Palembang,,
Kahar Muzakir,Sumatera Selatan I,Golkar,DPR RI; Wakil Ketua MPR RI,MUHAMMADIYAH 1; ISLAM YOGYAKARTA; IKIP YOGYAKARTA,,
Eva Susanti,,,DPR RI,,,
Agung Firman Sampurna,,,Ketua Badan Pemeriksa Keuangan Republik Indonesia ke-17; Ketua Umum PBSI,,,
Wahyu Sanjaya,,,DPR RI,,,
Dewi Yustisiana,,,DPR RI,,,
Doni Akbar,,,DPR RI,,,
Yudha Novanza Utama,Sumatera Selatan I,Golkar,DPR RI,,,
Fauzi H. Amro,Sumatera Selatan I,NasDem,DPR RI,SD Negeri 1 Remban Surulangun; SMP Negeri 7 Kota Bengkulu; Sekolah Pertanian Pembangunan Daerah Tingkat I Bengkulu; Institut Pertanian Bogor;Universitas Padjadjaran; Universitas Indonesia,,
Mohammad Iqbal Romzi,Sumatera Selatan I,PKS,DPR RI,SDN Sakatiga; Madrasah Tsanawiyah YPIRUS; Madrasah Aliyah Pondok Pesantren Raudathul Ulum; Institut Agama Islam Negeri Sunan Kalijaga,,
Ishak Mekki,Sumatera Selatan I,Demokrat,DPR RI; Wakil Gubernur Sumatera Selatan ke-7; Bupati Ogan Komering Ilir ke-15,SD Kayuagung; SMP Kayuagung; STM I Palembang; Universitas Sriwijaya,,
Muchendi Mahzareki,,,Bupati Ogan Komering Ilir ke-18,,,
Bertu Merlas,Sumatera Selatan II,PKB,DPR RI,SD Negeri 1 Sidomulyo; SMP Negeri 1 Belitang; SMA Negeri 1 Belitang; Universitas Bandar Lampung,,
Herman Deru,,,Gubernur Sumatera Selatan ke-16; Bupati Ogan Komering Ulu Timur ke-1,,,
Lanosin Hamzah,,,Bupati Ogan Komering Ulu Timur ke-3,,,
Ahmad Wazir Noviadi,Sumatera Selatan II,Gerindra,DPR RI; Bupati Ogan Ilir ke-2,SDN 188 PALEMBANG; SMPN 1 PALEMBANG; SMA BINA BANGSA; UNIVERSITAS ISLAM INDONESIA; Universitas Sriwijaya,,
Panca Wijaya Akbar,,,Bupati Ogan Ilir ke-4,,,
Ridho Yahya,,,Wali Kota Prabumulih ke-2; Wakil Wali Kota Prabumulih ke-2,,,
Mawardi Yahya,,,Wakil Gubernur Sumatera Selatan ke-8; Bupati Ogan Ilir ke-1,,,
Sri Meliyana,Sumatera Selatan II,Gerindra,DPR RI,SD Santo Yosef; SMP Santo Yosef; SMA Santo Yosef; Universitas Sriwijaya,,
Bursah Zarnubi,,,Bupati Lahat ke-18; Ketua Umum Partai Bintang Reformasi; DPR RI,,,
Giri Ramanda Nazaputra Kiemas,Sumatera Selatan II,PDI-P,DPR RI; Wakil Ketua DPRD Provinsi Sumatera Selatan; Ketua DPRD Provinsi Sumatera Selatan; Anggota DPRD Sumatra Selatan,SD St Maria Fatima Jakarta; SMP St Maria Fatima Jakarta; SMU Negeri 12 Jakarta; Universitas Indonesia; Universitas Sriwijaya,,
Nazarudin Kiemas,,,DPR RI,,,
Taufiq Kiemas,,,Ketua MPR RI ke-13; Bapak Negara Indonesia; Suami Wakil Presiden Indonesia; DPR RI,,,
Megawati Soekarnoputri,,,Presiden Indonesia ke-5; Wakil Presiden Indonesia ke-8; Ketua Umum PDI-P; Ketua Umum Partai Demokrasi Indonesia; DPR RI; Sekretaris Jenderal Partai Demokrasi Indonesia Perjuangan,,,
Puan Maharani,,,Ketua DPR RI ke-19; Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan Indonesia ke-16; Ketua Fraksi PDI-P DPR-RI; DPR RI,,,
Dewi Yustisiana,Sumatera Selatan II,Golkar,DPR RI,SD NEGERI 56 PALEMBANG; SMP NEGERI 1 PALEMBANG; SMA NEGERI 1 PALEMBANG; Universitas Sriwijaya; Universitas Indonesia,,
Irma Suryani,Sumatera Selatan II,NasDem,DPR RI,Tauladan Metro; SMP Negeri III Palembang; SMA Negeri III Samarinda; AMP/YKPN; Sekolah Tinggi Ilmu Ekonomi,,
Askweni,Sumatera Selatan II,PKS,DPR RI,SD 1 Bayu Ampar; SMPN 6 Kayu Agung; SMA 1 Kayu Agung; Universitas Sriwijaya,,
Iskandar,Sumatera Selatan II,PAN,DPR RI; Bupati Ogan Komering Ilir ke-16; Wakil Bupati Ogan Ilir ke-1,SD YPP EKA Pendopo; SLTP Xaverius III Palembang; SMA Negeri 46 Jakarta; Universitas Jayabaya,,
Hanna Gayatri,,,DPR RI,,,
Hatta Rajasa,,,Menteri Koordinator Bidang Perekonomian Indonesia ke-13; Menteri Keuangan Indonesia; Menteri Sekretaris Negara Indonesia ke-14; Menteri Perhubungan Indonesia ke-27; Menteri Negara Riset dan Teknologi Indonesia ke-8; Ketua Umum Partai Amanat Nasional ke-3; DPR RI,,,
Achmad Hafisz Tohir,,,DPR RI,,,
Wahyu Sanjaya,Sumatera Selatan II,Demokrat,DPR RI,SD Negeri 65 Palembang; SMP Negeri 1 Palembang; SMA Negeri 1 Palembang; Universitas Sriwijaya,,
Eva Susanti,,,DPR RI,,,
Agung Firman Sampurna,,,Ketua Badan Pemeriksa Keuangan Republik Indonesia ke-17; Ketua Umum PBSI,,,
Dewi Yustisiana,,,DPR RI,,,
Doni Akbar,,,DPR RI,,,
Kahar Muzakir,,,Wakil Ketua MPR RI; DPR RI,,,
Eko Kurnia Ningsih,Bengkulu,PDI-P,DPR RI,SDN 1 MUNGO; SMPN 13 BENGKULU UTARA; SPG BENGKULU,,
Mian,,,Wakil Gubernur Bengkulu ke-11; Bupati Bengkulu Utara ke-12; Wakil Bupati Bengkulu Utara ke-3,,,
Derta Rohidin,Bengkulu,Golkar,DPR RI,SD Negeri 10 Manna Bengkulu Selatan; SMP Negeri 2 Manna Bengkulu Selatan; SMA Negeri 4 Bengkulu; Sekolah Tinggi Kesejahteraan Sosial Bandung,,
Rohidin Mersyah,,,Gubernur Bengkulu ke-10; Wakil Gubernur Bengkulu ke-8; Wakil Bupati Bengkulu Selatan ke-3,,,
Erna Sari Dewi,Bengkulu,NasDem,DPR RI,SD ADYAKSA JAMBI; SMP NEGERI 7 JAMBI; SMA SANTO YOSEF PANGKAL PINANG; UNIVERSITAS PROF DR HAZAIRIN BENGKULU; UNIVERSITAS JANABADRA,,
Dewi Coryati,Bengkulu,PAN,DPR RI,SD Iskandaria; SMP Negeri 1 Kendari; SMA Negeri 5 Bandung; Institut Pertanian Bogor; Universitas Indonesia; Universitas Negeri Padjajaran,,
Muhammad Kadafi,Lampung I,PKB,DPR RI,Madrasah Ibtidaiyah Negeri I Banda Aceh; SMPN 1 Banda Aceh; SMAN 9 Bandar Lampung; Universitas Lampung; Universitas Diponegoro,,
Elnino M. Husein Mohi,Gorontalo,Gerindra,DPR RI,Sekolah Tinggi Teknologi Telkom; Universitas Indonesia,,
Rachmad Gobel,Gorontalo,NasDem,DPR RI,Universitas Chuo,,
Rusli Habibie,Gorontalo,Golkar,DPR RI,Sekolah Tinggi Kesejahteraan Sosial (STKS) Bandung,,
Bambang Heri Purnama,Kalimantan Selatan I,Golkar,DPR RI,Universitas 17 Agustus 1945 Surabaya; Universitas Achmad Yani; Universitas Lambung Mangkurat,,
Habib Aboe Bakar Al Habsyi,Kalimantan Selatan I,PKS,DPR RI,STIE Bisnis Indonesia,,
M. Rifqinizamy Karsayuda,Kalimantan Selatan I,NasDem,DPR RI,Universitas Islam Indonesia; Universiti Kebangsaan Malaysia; Universitas Nasional; Universitas Brawijaya; PPMI Assalaam,,
Muhammad Rofiqi,Kalimantan Selatan I,Gerindra,DPR RI,Universitas Diponegoro,,
Pangeran Khairul Saleh,Kalimantan Selatan I,PAN,DPR RI,,,
Sandi Fitrian Noor,Kalimantan Selatan I,Golkar,DPR RI,,,
Endang Agustina,Kalimantan Selatan II,PAN,DPR RI,,,
Hasnuryadi Sulaiman,Kalimantan Selatan II,Golkar,DPR RI,Universitas Deakin; Universitas Lambung Mangkurat,,
Machfud Arifin,Kalimantan Selatan II,NasDem,DPR RI,Akademi Kepolisian,,
Mariana,Kalimantan Selatan II,Gerindra,DPR RI,Sekolah Tinggi Ilmu Administrasi Bina Banua,,
Rahmat Trianto,Kalimantan Selatan II,NasDem,DPR RI,,,
Rikwanto,Kalimantan Selatan II,Golkar,DPR RI,Akademi Kepolisian,,
Sudian Noor,Kalimantan Selatan II,PAN,DPR RI,,,
Aus Hidayat Nur,Kalimantan Timur,PKS,DPR RI,Lembaga Ilmu Pengetahuan Islam dan Arab; Universitas Indonesia,,
Edi Oloan Pasaribu,Kalimantan Timur,PAN,DPR RI,,,
G. Budisatrio Djiwandono,Kalimantan Timur,Gerindra,DPR RI,Universitas Clark; en,,
Hetifah Sjaifudian,Kalimantan Timur,Golkar,DPR RI,Institut Teknologi Bandung; Universitas Nasional Singapura; Universitas Flinders,,
Nabil Husien Said Amin Alrasydi,Kalimantan Timur,NasDem,DPR RI,,,
Rudy Mas'ud,Kalimantan Timur,Golkar,DPR RI,Universitas Mulawarman,,
Safaruddin,Kalimantan Timur,PDI-P,DPR RI,Akademi Kepolisian,,
Sarifah Suraidah,Kalimantan Timur,Golkar,DPR RI,,,
Syafruddin,Kalimantan Timur,PKB,DPR RI,Universitas Mulawarman,,
Deddy Yevri Hanteru Sitorus,Kalimantan Utara,PDI-P,DPR RI,Universitas Simalungun; Universitas Kingston,,
Hasan Saleh,Kalimantan Utara,Demokrat,DPR RI,Universitas Muhammadiyah Malang,,
Rahmawati,Kalimantan Utara,Gerindra,DPR RI,Universitas Cokroaminoto Yogyakarta,,
F. Alimudin Kolatlena,Maluku,Gerindra,DPR RI,,,
Hendrik Lewerissa,Maluku,Gerindra,DPR RI,Universitas Pattimura; Universitas Temple,,
Mercy Chriesty Barends,Maluku,PDI-P,DPR RI,Universitas Pattimura,,
Saadiah Uluputty,Maluku,PKS,DPR RI,Universitas Pattimura,,
Widya Pratiwi,Maluku,PAN,DPR RI,,,
Alien Mus,Maluku Utara,Golkar,DPR RI,Universitas Al Azhar Indonesia,,
Irine Yusiana Roba Putri,Maluku Utara,PDI-P,DPR RI,Universitas Atma Jaya Yogyakarta; Universitas Monash,,
Izzuddin Alqassam Kasuba,Maluku Utara,PKS,DPR RI,,,
Benhur Tomi Mano,Papua,PDI-P,DPR RI,APDN Jayapura,,
Ruth Naomi Rumkabu,Papua,PDI-P,DPR RI,,,
Tonny Tesar,Papua,NasDem,DPR RI,Universitas Cendrawasih,,
Yan Permenas Mandenas,Papua,Gerindra,DPR RI,Universitas Cenderawasih; Universitas Indonesia,,
Alfons Manibui,Papua Barat,Golkar,DPR RI,,,
Cheroline Chrisye Makalew,Papua Barat,NasDem,DPR RI,,,
Obet Rumbruren,Papua Barat,PDI-P,DPR RI,,,
Faujia Helga Br. Tampubolon,Papua Barat Daya,Demokrat,DPR RI,,,
Rico Sia,Papua Barat Daya,NasDem,DPR RI,Universitas Bina Nusantara; Universitas Hasanuddin,,
Robert Joppy Kardinal,Papua Barat Daya,Golkar,DPR RI,Universitas 17 Agustus 1945 Jakarta,,
Arif Riyanto Uopdana,Papua Pegunungan,PDI-P,DPR RI,,,
John Wempi Wetipo,Papua Pegunungan,PDI-P,DPR RI,Universitas Cenderawasih,,
Paulus Ubruangge,Papua Pegunungan,PAN,DPR RI,Universitas Cenderawasih,,
Roberth Rouw,Papua Pegunungan,NasDem,DPR RI,,,
Edoardus Kaize,Papua Selatan,PDI-P,DPR RI,,,
Indrajaya,Papua Selatan,PKB,DPR RI,Universitas Gadjah Mada,,
Kristosimus Yohanes Agawemu,Papua Selatan,PKB,DPR RI,Akademi Maritim Indonesia Veteran Makassar,,
Sulaeman L. Hamzah,Papua Selatan,NasDem,DPR RI,,,
Arjuna Sakir,Papua Tengah,NasDem,DPR RI,,,
Kamarudin Watubun,Papua Tengah,PDI-P,DPR RI,Universitas Cenderawasih; Universitas Gadjah Mada,,
Natalis Tabuni,Papua Tengah,NasDem,DPR RI,Universitas Gadjah Mada; STFT Fajar Timur,,
Soedeson Tandra,Papua Tengah,Golkar,DPR RI,Universitas Gadjah Mada,,
Agus Ambo Djiwa,Sulawesi Barat,PDI-P,DPR RI,,,
Ajbar,Sulawesi Barat,PAN,DPR RI,SMA Negeri 3 Majene,,
Muhammad Zulfikar Suhardi,Sulawesi Barat,Demokrat,DPR RI,,,
Ratih Megasari Singkarru,Sulawesi Barat,NasDem,DPR RI,Universitas Presiden,,
Suhardi Duka,Sulawesi Barat,Demokrat,DPR RI,,,
Achmad Dg. Sere,Sulawesi Selatan I,NasDem,DPR RI,Universitas Veteran Republik Indonesia,,
Ashabul Kahfi,Sulawesi Selatan I,PAN,DPR RI,IAIN Alauddin Makassar,,
Azikin Solthan,Sulawesi Selatan I,Gerindra,DPR RI,Universitas Hasanuddin; Universitas Negeri Makassar,,
Fatmawati Rusdi,Sulawesi Selatan I,NasDem,DPR RI,Universitas Jayabaya,,
Hamka B. Kady,Sulawesi Selatan I,Golkar,DPR RI,Universitas Hasanuddin,,
Meity Rahmatia,Sulawesi Selatan I,PKS,DPR RI,,,
Ridwan Andi Wittiri,Sulawesi Selatan I,PDI-P,DPR RI,,,
Rudianto Lallo,Sulawesi Selatan I,NasDem,DPR RI,Universitas Hasanuddin; Universitas Muslim Indonesia,,
Syamsu Rizal M. I.,Sulawesi Selatan I,PKB,DPR RI,Universitas Hasanuddin; Universitas Negeri Makassar,,
Andi Amar Ma'ruf Sulaiman,Sulawesi Selatan II,Gerindra,DPR RI,Universitas Hasanuddin; University of Queensland,,
Andi Iwan Darmawan Aras,Sulawesi Selatan II,Gerindra,DPR RI,Universitas Hasanuddin; Universitas Prof. Dr. Moestopo,,
Andi Muawiyah Ramly,Sulawesi Selatan II,PKB,DPR RI,IAIN Sunan Kalijaga; Universitas Krisnadwipayana,,
Andi Muzakkir Aqil,Sulawesi Selatan II,Demokrat,DPR RI,,,
Andi Yuliani Paris,Sulawesi Selatan II,PAN,DPR RI,Institut Pertanian Bogor; Universitas Hasanuddin,,
Ismail,Sulawesi Selatan II,PKS,DPR RI,Universitas Hasanuddin; Sekolah Tinggi Ilmu Ekonomi AMKOP Makassar,,
M. Taufan Pawe,Sulawesi Selatan II,Golkar,DPR RI,Universitas Muslim Indonesia; Universitas Hasanuddin,,
Nurdin Halid,Sulawesi Selatan II,Golkar,DPR RI,Universitas Negeri Makassar,,
Teguh Iswara Suardi,Sulawesi Selatan II,NasDem,DPR RI,,,
Agustina Mangande,Sulawesi Selatan III,Golkar,DPR RI,,,
Eva Stevany Rataba,Sulawesi Selatan III,NasDem,DPR RI,Universitas Kristen Indonesia Paulus,,
Frederik Kalalembang,Sulawesi Selatan III,Demokrat,DPR RI,Akademi Kepolisian,,
La Tinro La Tunrung,Sulawesi Selatan III,Gerindra,DPR RI,Universitas Hasanuddin,,
